0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,label,split
-36.0,-31.0,-42.0,-54.0,-49.0,-53.0,-64.0,-67.0,34.6705,-34.9064,-33.0,-31.0,-42.0,-54.0,-50.0,-53.0,-58.0,-67.0,34.8462,-34.1078,-33.0,-30.0,-42.0,-54.0,-50.0,-53.0,-57.0,-74.0,33.9367,-35.4923,-33.0,-30.0,-41.0,-54.0,-49.0,-53.0,-61.0,-74.0,34.8495,-34.1552,-33.0,-33.0,-41.0,-55.0,-49.0,-57.0,-61.0,-63.0,34.9306,-36.2587,-33.0,-33.0,-38.0,-55.0,-49.0,-53.0,-61.0,-65.0,35.035,-34.6462,-33.0,-33.0,-38.0,-55.0,-51.0,-53.0,-59.0,-65.0,34.4298,-34.962,-33.0,-33.0,-38.0,-55.0,-51.0,-53.0,-67.0,-60.0,34.7398,-32.4641,-33.0,-33.0,-38.0,-55.0,-50.0,-53.0,-67.0,-60.0,34.3985,-33.7515,-33.0,-33.0,-38.0,-55.0,-53.0,-53.0,-59.0,-60.0,34.4439,-34.4735,0.5_0.5,train
-33.0,-31.0,-42.0,-54.0,-50.0,-53.0,-58.0,-67.0,34.8462,-34.1078,-33.0,-30.0,-42.0,-54.0,-50.0,-53.0,-57.0,-74.0,33.9367,-35.4923,-33.0,-30.0,-41.0,-54.0,-49.0,-53.0,-61.0,-74.0,34.8495,-34.1552,-33.0,-33.0,-41.0,-55.0,-49.0,-57.0,-61.0,-63.0,34.9306,-36.2587,-33.0,-33.0,-38.0,-55.0,-49.0,-53.0,-61.0,-65.0,35.035,-34.6462,-33.0,-33.0,-38.0,-55.0,-51.0,-53.0,-59.0,-65.0,34.4298,-34.962,-33.0,-33.0,-38.0,-55.0,-51.0,-53.0,-67.0,-60.0,34.7398,-32.4641,-33.0,-33.0,-38.0,-55.0,-50.0,-53.0,-67.0,-60.0,34.3985,-33.7515,-33.0,-33.0,-38.0,-55.0,-53.0,-53.0,-59.0,-60.0,34.4439,-34.4735,-33.0,-33.0,-38.0,-55.0,-53.0,-53.0,-59.0,-60.0,34.2875,-35.2342,0.5_0.5,train
-33.0,-30.0,-42.0,-54.0,-50.0,-53.0,-57.0,-74.0,33.9367,-35.4923,-33.0,-30.0,-41.0,-54.0,-49.0,-53.0,-61.0,-74.0,34.8495,-34.1552,-33.0,-33.0,-41.0,-55.0,-49.0,-57.0,-61.0,-63.0,34.9306,-36.2587,-33.0,-33.0,-38.0,-55.0,-49.0,-53.0,-61.0,-65.0,35.035,-34.6462,-33.0,-33.0,-38.0,-55.0,-51.0,-53.0,-59.0,-65.0,34.4298,-34.962,-33.0,-33.0,-38.0,-55.0,-51.0,-53.0,-67.0,-60.0,34.7398,-32.4641,-33.0,-33.0,-38.0,-55.0,-50.0,-53.0,-67.0,-60.0,34.3985,-33.7515,-33.0,-33.0,-38.0,-55.0,-53.0,-53.0,-59.0,-60.0,34.4439,-34.4735,-33.0,-33.0,-38.0,-55.0,-53.0,-53.0,-59.0,-60.0,34.2875,-35.2342,-33.0,-35.0,-41.0,-55.0,-53.0,-53.0,-59.0,-60.0,34.5599,-34.706,0.5_0.5,train
-33.0,-30.0,-41.0,-54.0,-49.0,-53.0,-61.0,-74.0,34.8495,-34.1552,-33.0,-33.0,-41.0,-55.0,-49.0,-57.0,-61.0,-63.0,34.9306,-36.2587,-33.0,-33.0,-38.0,-55.0,-49.0,-53.0,-61.0,-65.0,35.035,-34.6462,-33.0,-33.0,-38.0,-55.0,-51.0,-53.0,-59.0,-65.0,34.4298,-34.962,-33.0,-33.0,-38.0,-55.0,-51.0,-53.0,-67.0,-60.0,34.7398,-32.4641,-33.0,-33.0,-38.0,-55.0,-50.0,-53.0,-67.0,-60.0,34.3985,-33.7515,-33.0,-33.0,-38.0,-55.0,-53.0,-53.0,-59.0,-60.0,34.4439,-34.4735,-33.0,-33.0,-38.0,-55.0,-53.0,-53.0,-59.0,-60.0,34.2875,-35.2342,-33.0,-35.0,-41.0,-55.0,-53.0,-53.0,-59.0,-60.0,34.5599,-34.706,-33.0,-34.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,35.0568,-34.3864,0.5_0.5,train
-33.0,-33.0,-41.0,-55.0,-49.0,-57.0,-61.0,-63.0,34.9306,-36.2587,-33.0,-33.0,-38.0,-55.0,-49.0,-53.0,-61.0,-65.0,35.035,-34.6462,-33.0,-33.0,-38.0,-55.0,-51.0,-53.0,-59.0,-65.0,34.4298,-34.962,-33.0,-33.0,-38.0,-55.0,-51.0,-53.0,-67.0,-60.0,34.7398,-32.4641,-33.0,-33.0,-38.0,-55.0,-50.0,-53.0,-67.0,-60.0,34.3985,-33.7515,-33.0,-33.0,-38.0,-55.0,-53.0,-53.0,-59.0,-60.0,34.4439,-34.4735,-33.0,-33.0,-38.0,-55.0,-53.0,-53.0,-59.0,-60.0,34.2875,-35.2342,-33.0,-35.0,-41.0,-55.0,-53.0,-53.0,-59.0,-60.0,34.5599,-34.706,-33.0,-34.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,35.0568,-34.3864,-35.0,-34.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,35.0505,-34.2816,0.5_0.5,train
-33.0,-33.0,-38.0,-55.0,-49.0,-53.0,-61.0,-65.0,35.035,-34.6462,-33.0,-33.0,-38.0,-55.0,-51.0,-53.0,-59.0,-65.0,34.4298,-34.962,-33.0,-33.0,-38.0,-55.0,-51.0,-53.0,-67.0,-60.0,34.7398,-32.4641,-33.0,-33.0,-38.0,-55.0,-50.0,-53.0,-67.0,-60.0,34.3985,-33.7515,-33.0,-33.0,-38.0,-55.0,-53.0,-53.0,-59.0,-60.0,34.4439,-34.4735,-33.0,-33.0,-38.0,-55.0,-53.0,-53.0,-59.0,-60.0,34.2875,-35.2342,-33.0,-35.0,-41.0,-55.0,-53.0,-53.0,-59.0,-60.0,34.5599,-34.706,-33.0,-34.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,35.0568,-34.3864,-35.0,-34.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,35.0505,-34.2816,-34.0,-34.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,33.9064,-35.4485,0.5_0.5,train
-33.0,-33.0,-38.0,-55.0,-51.0,-53.0,-59.0,-65.0,34.4298,-34.962,-33.0,-33.0,-38.0,-55.0,-51.0,-53.0,-67.0,-60.0,34.7398,-32.4641,-33.0,-33.0,-38.0,-55.0,-50.0,-53.0,-67.0,-60.0,34.3985,-33.7515,-33.0,-33.0,-38.0,-55.0,-53.0,-53.0,-59.0,-60.0,34.4439,-34.4735,-33.0,-33.0,-38.0,-55.0,-53.0,-53.0,-59.0,-60.0,34.2875,-35.2342,-33.0,-35.0,-41.0,-55.0,-53.0,-53.0,-59.0,-60.0,34.5599,-34.706,-33.0,-34.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,35.0568,-34.3864,-35.0,-34.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,35.0505,-34.2816,-34.0,-34.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,33.9064,-35.4485,-34.0,-37.0,-42.0,-54.0,-53.0,-53.0,-59.0,-60.0,33.9161,-34.1134,0.5_0.5,train
-33.0,-33.0,-38.0,-55.0,-51.0,-53.0,-67.0,-60.0,34.7398,-32.4641,-33.0,-33.0,-38.0,-55.0,-50.0,-53.0,-67.0,-60.0,34.3985,-33.7515,-33.0,-33.0,-38.0,-55.0,-53.0,-53.0,-59.0,-60.0,34.4439,-34.4735,-33.0,-33.0,-38.0,-55.0,-53.0,-53.0,-59.0,-60.0,34.2875,-35.2342,-33.0,-35.0,-41.0,-55.0,-53.0,-53.0,-59.0,-60.0,34.5599,-34.706,-33.0,-34.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,35.0568,-34.3864,-35.0,-34.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,35.0505,-34.2816,-34.0,-34.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,33.9064,-35.4485,-34.0,-37.0,-42.0,-54.0,-53.0,-53.0,-59.0,-60.0,33.9161,-34.1134,-32.0,-37.0,-42.0,-53.0,-53.0,-53.0,-59.0,-60.0,34.7145,-34.3694,0.5_0.5,train
-33.0,-33.0,-38.0,-55.0,-50.0,-53.0,-67.0,-60.0,34.3985,-33.7515,-33.0,-33.0,-38.0,-55.0,-53.0,-53.0,-59.0,-60.0,34.4439,-34.4735,-33.0,-33.0,-38.0,-55.0,-53.0,-53.0,-59.0,-60.0,34.2875,-35.2342,-33.0,-35.0,-41.0,-55.0,-53.0,-53.0,-59.0,-60.0,34.5599,-34.706,-33.0,-34.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,35.0568,-34.3864,-35.0,-34.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,35.0505,-34.2816,-34.0,-34.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,33.9064,-35.4485,-34.0,-37.0,-42.0,-54.0,-53.0,-53.0,-59.0,-60.0,33.9161,-34.1134,-32.0,-37.0,-42.0,-53.0,-53.0,-53.0,-59.0,-60.0,34.7145,-34.3694,-32.0,-33.0,-41.0,-53.0,-53.0,-53.0,-59.0,-60.0,34.0088,-34.4011,0.5_0.5,train
-33.0,-33.0,-38.0,-55.0,-53.0,-53.0,-59.0,-60.0,34.4439,-34.4735,-33.0,-33.0,-38.0,-55.0,-53.0,-53.0,-59.0,-60.0,34.2875,-35.2342,-33.0,-35.0,-41.0,-55.0,-53.0,-53.0,-59.0,-60.0,34.5599,-34.706,-33.0,-34.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,35.0568,-34.3864,-35.0,-34.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,35.0505,-34.2816,-34.0,-34.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,33.9064,-35.4485,-34.0,-37.0,-42.0,-54.0,-53.0,-53.0,-59.0,-60.0,33.9161,-34.1134,-32.0,-37.0,-42.0,-53.0,-53.0,-53.0,-59.0,-60.0,34.7145,-34.3694,-32.0,-33.0,-41.0,-53.0,-53.0,-53.0,-59.0,-60.0,34.0088,-34.4011,-32.0,-33.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,34.3814,-35.1026,0.5_0.5,train
