elapsed_s,tag_hex_id,position_x,position_y,yaw_map
3.241,0xC0,0.1,0.1651,353.94
3.245,0xC0,0.4982,0.1,353.94
3.25,0xC0,0.1,0.1,353.94
3.674,0xC0,0.0893,0.1,353.12
3.732,0xC0,0.2446,0.1,352.94
3.735,0xC0,0.2867,0.1,352.94
3.74,0xC0,0.3287,0.1,352.94
3.743,0xC0,0.3813,0.1,352.94
3.747,0xC0,0.421,0.1,352.94
3.848,0xC0,0.6483,0.1,352.69
3.853,0xC0,0.6575,0.1,352.69
3.862,0xC0,0.658,0.1,352.69
3.865,0xC0,0.6464,0.1,352.69
3.87,0xC0,0.6358,0.1,352.69
3.949,0xC0,0.7611,0.1,352.44
3.955,0xC0,0.7418,0.1,352.44
3.962,0xC0,0.7307,0.1,352.44
3.965,0xC0,0.7019,0.1,352.44
3.97,0xC0,0.672,0.1,352.44
3.975,0xC0,0.6419,0.1,352.44
3.983,0xC0,0.6166,0.1,352.44
3.992,0xC0,0.598,0.1,352.44
4.051,0xC0,0.6394,0.1,352.44
4.055,0xC0,0.6046,0.1,352.44
4.059,0xC0,0.574,0.1,352.44
4.103,0xC0,0.6246,0.1,352.44
4.109,0xC0,0.6317,0.1,352.44
4.116,0xC0,0.6407,0.1,352.44
4.121,0xC0,0.6467,0.1,352.44
4.151,0xC0,0.683,0.1,352.44
4.157,0xC0,0.6871,0.1,352.44
4.163,0xC0,0.6851,0.1,352.44
4.167,0xC0,0.6808,0.1,352.44
4.203,0xC0,0.7087,0.1,352.31
4.209,0xC0,0.6962,0.1,352.31
4.216,0xC0,0.682,0.1,352.31
4.222,0xC0,0.6686,0.1,352.31
4.355,0xC0,0.7329,0.1,353.56
4.357,0xC0,0.658,0.1,353.56
4.36,0xC0,0.5952,0.1,353.56
4.362,0xC0,0.5358,0.1,353.56
4.367,0xC0,0.4771,0.1,353.56
4.369,0xC0,0.4261,0.1,353.56
4.372,0xC0,0.3812,0.1,353.56
4.375,0xC0,0.3422,0.1,353.56
4.379,0xC0,0.3045,0.1,353.56
4.381,0xC0,0.2872,0.1,353.56
4.384,0xC0,0.2956,0.1,353.56
4.387,0xC0,0.3068,0.1,353.56
4.391,0xC0,0.3196,0.1,353.56
4.399,0xC0,0.3351,0.1,354.0
4.402,0xC0,0.3482,0.1,354.0
4.405,0xC0,0.3598,0.1,354.0
4.458,0xC0,0.3724,0.1,354.25
4.461,0xC0,0.3739,0.1,354.25
4.466,0xC0,0.3742,0.1,354.25
4.47,0xC0,0.374,0.1,354.25
4.565,0xC0,0.3883,0.1,354.62
4.57,0xC0,0.3858,0.1,354.62
4.575,0xC0,0.3993,0.1,354.62
4.577,0xC0,0.4111,0.1,354.62
4.581,0xC0,0.4112,0.1,354.62
4.586,0xC0,0.4073,0.1,354.62
4.591,0xC0,0.4018,0.1,354.62
4.594,0xC0,0.3935,0.0016,354.62
4.608,0xC0,0.3874,0.0245,354.62
4.614,0xC0,0.3806,0.0395,354.62
4.621,0xC0,0.3744,0.0545,354.62
4.627,0xC0,0.3684,0.0679,354.62
4.635,0xC0,0.3628,0.0813,354.62
4.7,0xC0,0.3605,0.1511,354.62
4.749,0xC0,0.3552,0.1864,354.62
4.754,0xC0,0.3475,0.1717,354.62
4.762,0xC0,0.3407,0.146,354.62
4.768,0xC0,0.335,0.1197,354.62
4.775,0xC0,0.3302,0.0949,354.62
4.781,0xC0,0.3258,0.0709,354.62
4.795,0xC0,0.321,0.0554,354.62
4.799,0xC0,0.3177,0.0346,354.62
4.806,0xC0,0.3156,0.0169,354.62
4.858,0xC0,0.3233,0.0155,352.12
4.864,0xC0,0.343,0.1,352.12
4.873,0xC0,0.3614,0.1,352.12
4.878,0xC0,0.3839,0.1,352.12
4.885,0xC0,0.4049,0.1,352.12
4.947,0xC0,0.4378,0.1,349.75
5.016,0xC0,0.4778,0.1,349.75
5.023,0xC0,0.5058,0.1,349.75
5.028,0xC0,0.4911,0.1,349.75
5.032,0xC0,0.4623,0.1,349.75
5.037,0xC0,0.4319,0.1,349.75
5.066,0xC0,0.4037,0.1,349.75
5.074,0xC0,0.3782,0.1,349.75
5.082,0xC0,0.3575,0.1,349.75
5.09,0xC0,0.3395,0.1,349.75
5.096,0xC0,0.3238,0.1,349.75
5.111,0xC0,0.3086,0.1,346.81
5.115,0xC0,0.327,0.1,346.81
5.123,0xC0,0.3465,0.1,346.81
5.129,0xC0,0.3712,0.1,346.81
5.136,0xC0,0.3943,0.1,346.81
5.158,0xC0,0.3856,0.1,345.75
5.161,0xC0,0.3683,0.1,345.75
5.166,0xC0,0.3491,0.1,345.75
5.17,0xC0,0.3303,0.1,345.75
5.212,0xC0,0.3037,0.1,345.06
5.218,0xC0,0.2814,0.1,345.06
5.222,0xC0,0.2588,0.1,345.06
5.226,0xC0,0.2381,0.1,345.06
5.231,0xC0,0.2181,0.1,345.06
5.281,0xC0,0.1975,0.1,344.94
5.287,0xC0,0.1932,0.1,344.94
5.293,0xC0,0.1927,0.1,344.94
5.299,0xC0,0.1925,0.1,344.94
5.332,0xC0,0.1889,0.1,345.12
5.339,0xC0,0.1956,0.1,345.12
5.378,0xC0,0.1885,0.1,345.12
5.385,0xC0,0.1905,0.1,345.12
5.389,0xC0,0.191,0.1,345.12
5.394,0xC0,0.186,0.1,345.12
5.426,0xC0,0.1726,0.1,345.12
5.43,0xC0,0.1657,0.1,345.12
5.436,0xC0,0.1603,0.1,345.12
5.442,0xC0,0.1545,0.1,345.12
5.449,0xC0,0.149,0.1,345.12
5.481,0xC0,0.1368,0.1,345.12
5.587,0xC0,0.0935,0.1,349.69
5.592,0xC0,0.0738,0.1,349.69
5.597,0xC0,0.0537,0.1,349.69
5.599,0xC0,0.0237,0.1,349.69
5.604,0xC0,0.1,0.1,349.69
6.72,0xC0,0.0037,0.1,353.5
6.726,0xC0,0.037,0.1,353.5
